job_id,registration_nr_full,address_final,samatos_pavadinimas,contractor,work_type,qty_extracted,unit,cost_be_pvm_eur,unit_price
58,V25-0314370-1,Sausio 15-osios g. 24,"Lempų keitimas bendro naudojimo patalpose, 2 vnt","Mano Būstas Baltija, UAB",LIGHT,2.0,vnt,16.51,8.255
59,V25-0358835,Kalnupės g. 11A,Judesio daviklio keitimas,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,52.11,17.37
60,V25-0221857,Minijos g. 126,Šviestuvo su judesio davikliu keitimas prie 3-ios laiptinės įėjimo,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,63.55,21.183333333333334
61,V25-0258757-4,Pietinė g. 13,Sutapdinto stogo remonto darbai,"Truopni meistrai, MB_21",ROOF,100.0,m2,3510.0,35.1
62,V25-0368277-3,Baltijos pr. 91,Nuotekų vamzdyno atkarpos keitimas rūsyje,"Noske, UAB_21",SEWER,4.0,m,419.55,104.8875
63,V25-0256836-2,Debreceno g. 56,Šildymo sistemos stovo ventilių keitimas su drenažinių ventilių keitimu (skersmuo - iki 40 mm.),"Noske, UAB_21",PIPE_STACK,12.0,vnt,2066.0,172.16666666666666
64,V25-0404619-2,I. Simonaitytės g. 5,Šildymo sistemos radiatoriaus kamščio su nuorintoju keitimas 59-ame bute,"Noske, UAB_21",RADIATOR,1.0,vnt,92.18,92.18
65,V25-0292749-3,Debreceno g. 76,"Šildymo sistemos remonto darbai ties 43-iu butu, 3-ia laiptinė","Noske, UAB_21",RADIATOR,3.0,vnt,626.37,208.79
66,V25-0325886-3,Debreceno g. 14,"Šildymo radiatoriaus kamščių su nuorintojais keitimas, 3 vnt","Noske, UAB_21",RADIATOR,3.0,vnt,183.04,61.01333333333333
67,V25-0342789-2,Debreceno g. 58,Šildymo sistemos radiatoriaus nuorintojų ir kamščių keitimas,"Noske, UAB_21",RADIATOR,2.0,vnt,164.61,82.305
68,V25-0256836-2,Debreceno g. 56,Šildymo sistemos stovo ventilių keitimas su drenažinių ventilių keitimu (skersmuo - iki 40 mm.),"Noske, UAB_21",PIPE_STACK,12.0,vnt,297.63,24.8025
69,V25-0333207-2,Taikos pr. 77,Šildymo sistemos vamzdyno remonto darbai,"Noske, UAB_21",PIPE,1.0,vnt,224.19,224.19
70,V25-0090052-10,Taikos pr. 83,Karšto vandens vamzdyno remonto darbai,"Noske, UAB_21",SEWER,2.0,m,318.87,159.435
71,V25-0345771,Reikjaviko g. 6,Šildymo sistemos stovo ir trieigių vožtuvų keitimas 81-ame bute,"Noske, UAB_21",PIPE_STACK,5.0,vnt,1418.19,283.63800000000003
72,V25-0346673-2,Vingio g. 11,Šildymo sistemos nuorintojų montavimas,"Noske, UAB_21",RADIATOR,2.0,vnt,187.92,93.96
73,V25-0346673-2,Vingio g. 11,Šildymo sistemos nuorintojų montavimas,"Noske, UAB_21",RADIATOR,2.0,vnt,187.92,93.96
74,V25-0262003-2,Debreceno g. 46,Karšto vandens ventilių su drenažiniais ventiliais keitimas rūsyje,"Noske, UAB_21",PIPE_STACK,2.0,vnt,387.63,193.815
75,V25-0271399-2,Debreceno g. 20,Šildymo sistemos trieigio vožtuvo ir vamzdyno atkarpų keitimas ties 28-u butu,"Noske, UAB_21",PIPE,1.0,vnt,-374.18,-374.18
